Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral,Na2O + K2O,TAS,Rocknames
S12-67_7-2,66.4,0.49,13.92,4.76,0.17,0.52,2.44,4.76,2.78,,,Glass,7.539999999999999,O3,"['Dacite', 'Granodiorite']"
U1438_U1438E-28R6W-I6 ,58.74,0.51,18.56,4.58,0.1,2.0,5.2,4.02,1.74,0.44,,Glass,5.76,O2,"['Andesite', 'Diorite']"
66DR-1_,71.61,0.88,12.32,4.3,0.09,1.19,2.14,3.99,2.79,0.16,,Glass,6.78,R,"['Rhyolite', 'Granite']"
GOR-60_34,56.55,1.62,14.99,8.8,0.19,2.3,6.1,3.46,2.6,,,Glass,6.0600000000000005,S2,"['Basaltic \nTrachy-\nandesite', 'Monzo-\ndiorite']"
LP5_MI1,48.4,0.78,16.0,9.03,0.1,7.39,11.0,2.23,0.35,,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
SH15DJR60_SH60MI18,48.8,1.92,17.53,10.47,0.22,4.93,9.09,3.34,1.13,0.3,,Glass,4.47,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
BJ10_MI11,49.71,1.75,18.83,7.79,0.15,7.46,9.83,3.46,0.5,0.3,,Glass,3.96,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
SH63DJR15_SH63MI47,51.45,1.7,14.98,13.75,0.32,4.43,8.05,3.56,0.96,0.42,,Glass,4.52,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
TF1170_cpx3_mia ,51.51,0.52,15.88,9.93,0.19,6.1,9.93,1.37,0.27,0.09,,Glass,1.6400000000000001,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
BN1997-98_H5icl.golfe_2,49.39,2.02,18.26,9.37,0.28,3.21,8.47,4.82,2.91,0.7,,Glass,7.73,U2,"['Phonotephrite', 'Foid Monzodiorite']"
BPB_20,50.8,0.94,17.18,8.38,0.16,5.57,10.37,3.26,1.03,0.25,,Glass,4.29,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
NZ 9_,65.0,0.87,14.45,3.63,0.1,1.35,2.47,3.52,5.13,0.7,,Glass,8.65,T2,"['Trachydacite', 'Quartz \nMonzonite']"
WOK-12D_WOKD-12_39,52.77,1.19,17.65,6.48,0.13,3.21,12.83,3.31,0.25,0.15,,Glass,3.56,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
KR96BV_KR96BV-49,54.27,1.19,15.62,9.25,0.21,3.69,6.95,4.1,1.02,0.38,,Glass,5.119999999999999,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
13_,56.1,1.35,15.2,8.4,,5.4,8.4,3.4,1.15,,,Glass,4.55,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
AS03-AGRI-2_AGRI2-23 ,45.44,0.65,17.62,9.84,0.2,4.74,13.02,1.96,0.4,0.12,,Glass,2.36,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
