,Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral
43294,AC4_EUH78_P,36.54929,0.014575,0.006332,25.85008,0.483203,36.4739,0.150683,,,0.00476,1.5e-05,Olivine
43295,AC4_EUH78_P,36.96668,0.012843,0.007234,25.78673,0.491486,36.41135,0.14634,,,0.007005,0.004671,Olivine
43296,AC4_EUH78_P,36.61713,0.013861,0.007585,25.78558,0.505056,36.19878,0.150937,,,0.007188,1.5e-05,Olivine
43297,AC4_EUH78_P,36.72635,0.015102,0.0066,26.05555,0.487772,36.282,0.144102,,,0.008514,0.003353,Olivine
43298,AC4_EUH78_P,36.7758,0.016651,0.006491,25.65372,0.485648,36.48092,0.138188,,,0.006087,0.008138,Olivine
43299,AC4_EUH78_P,36.70175,0.014939,0.007088,25.26192,0.485809,36.46532,0.14099,,,0.006292,1.5e-05,Olivine
43300,AC4_EUH78_P,36.6826,0.015294,0.00433,25.96294,0.487126,36.62657,0.139049,,,0.004441,1.5e-05,Olivine
43301,AC4_EUH78_P,36.51598,0.015864,0.007562,25.50507,0.478842,36.64185,0.142318,,,0.00605,0.001851,Olivine
43302,AC4_EUH78_P,36.62843,0.016024,0.008279,25.61508,0.472465,36.76696,0.14825,,,2.3e-05,0.008401,Olivine
43303,AC4_EUH78_P,36.60114,0.020134,0.008933,25.32275,0.470442,36.69233,0.139389,,,0.006565,0.004347,Olivine
43304,AC4_EUH78_P,36.9111,0.013412,0.008003,25.60044,0.466585,36.81412,0.138207,,,0.005095,1.5e-05,Olivine
43305,AC4_EUH84_P,35.37955,0.04476,0.011973,33.86067,0.739974,29.01847,0.267401,,,0.042612,1.5e-05,Olivine
43306,AC4_EUH84_P,35.27917,0.033444,0.002597,33.71085,0.738918,29.4806,0.245439,,,0.027666,0.002034,Olivine
